title,status,area,responsavel,closed_at
[TAREFA]: Reunião com o mestrado de automação (convite Gustavo Maia),Concluído,Pesquisa,paulossjunior,2026-01-22
[TAREFA]: Acompanhar o cadastro do SITEC dos mestrados,Concluído,Pesquisa,paulossjunior,2026-01-25
[TAREFA]: Solicitar calendários aos responsáveis pela pós-graduação,Concluído,Pesquisa,paulossjunior,2026-01-28
[TAREFA]: Solicitar ao procurador para tornar públicos os dados de pesquisa e extensão,Concluído,Pesquisa,paulossjunior,2026-01-15
[TAREFA]: Coletar interessados e obter TV box modificadas,Em andamento,Extensão,paulossjunior,
[TAREFA]: Organizar primeiro bate-papo informal com a comunidade,Em andamento,Gestão,N/A,
[TAREFA]: Mapear tipos de projetos e fluxos de processos,Em andamento,Gestão,N/A,
[TAREFA]: Propor a criação da CAEX,Em andamento,Extensão,N/A,
[TAREFA]: Formalizar comissão de aprovação de projetos,Em andamento,Gestão,N/A,
[TAREFA]: Alinhar com a CAP o novo calendário bimestral,Em andamento,Pesquisa,N/A,
[TAREFA]: Agendar reuniões com grupos de extensão,Em andamento,Extensão,N/A,
[TAREFA]: Agendar cronograma de reuniões com grupos de pesquisa,Em andamento,Pesquisa,N/A,
